Grupo de anuncios;Audiencia: Edad;Audiencia: País;Audiencia: Tipo de dispositivo;Audiencia: Género;Campaña: Tipo de canal publicitario;Campaña: Nombre de campaña;? Conversiones: Valor total de conversiones;Conversiones: Categoría de acción de conversión;Conversiones: Nombre de acción de conversión;? Conversiones: Valor de conversiones;? Coste: Importe gastado;Dimensión: Fecha;Dimensión: Fuente;? Rendimiento: Total de conversiones;? Rendimiento: Clics;? Rendimiento: Conversiones;? Rendimiento: Impresiones;? Vídeo: Visualizaciones;CPC Coste por clic;CPV Coste por visualización
Leads Potenciales;35-44;Argentina;Tablet;Femenino;Video;Black Friday;1510.72;Registro;Descarga App;930.2;378.43;2021-09-20;Google;90;37708;45;298050;11122;0.01;0.034
Segmento Interesados;45-54;Colombia;Móvil;Masculino;Video;Reactivación;1637.19;Registro;Formulario Contacto;1293.35;584.17;2021-12-21;YouTube;136;25371;105;278607;10782;0.023;0.0542
Clientes Frecuentes;45-54;México;Ordenador;Femenino;Social;Black Friday;2267.44;Registro;Descarga App;1093.88;552.12;2021-04-24;Instagram;65;36604;66;255902;12616;0.0151;0.0438
Clientes Frecuentes;35-44;España;Móvil;Femenino;Display;Promo Verano;2396.57;Compra;Descarga App;751.06;548.72;2021-11-25;Google;83;34227;116;325341;9062;0.016;0.0606
Segmento Interesados;35-44;Argentina;Tablet;Femenino;Búsqueda;Black Friday;1916.32;Descarga;Suscripción Newsletter;985.13;569.43;2021-01-26;Google;108;29806;75;377852;12212;0.0191;0.0466
Clientes Frecuentes;45-54;México;Tablet;Otro;Social;Black Friday;2108.19;Formulario;Formulario Contacto;669.92;530.83;2021-10-04;YouTube;142;35790;100;339114;10032;0.0148;0.0529
Campaña de Remarketing;25-34;España;Móvil;Femenino;Social;Black Friday;2281.98;Formulario;Descarga App;759.95;371.11;2021-09-16;YouTube;128;21078;39;156513;9900;0.0176;0.0375
Campaña de Remarketing;35-44;Argentina;Tablet;Otro;Búsqueda;Reactivación;2033.6;Formulario;Descarga App;687.43;396.23;2021-02-05;YouTube;109;35690;43;238700;14131;0.0111;0.028
Leads Potenciales;25-34;Argentina;Móvil;Otro;Búsqueda;Promo Verano;1669.14;Compra;Descarga App;1272.1;496.32;2021-10-05;Instagram;113;21112;74;253039;8762;0.0235;0.0566
Clientes Frecuentes;25-34;México;Móvil;Femenino;Social;Nuevos Clientes;2014.11;Compra;Descarga App;771.57;447.89;2021-11-16;YouTube;126;32288;69;181518;15020;0.0139;0.0298
Clientes Frecuentes;18-24;México;Ordenador;Femenino;Video;Promo Verano;2359.64;Compra;Suscripción Newsletter;788.08;482.62;2021-05-17;Facebook;70;25396;127;298549;14750;0.019;0.0327
Clientes Frecuentes;18-24;España;Tablet;Masculino;Display;Black Friday;2226.62;Compra;Compra Online;765.06;520.07;2021-03-14;Facebook;145;37344;84;167849;13243;0.0139;0.0393
Campaña de Remarketing;45-54;México;Ordenador;Femenino;Video;Promo Verano;1303.05;Registro;Descarga App;715.49;481.12;2021-11-20;Google;93;29481;72;350842;15134;0.0163;0.0318
